"taskID","weight","patina","site","surface","toSearch","dateDiscoveryMonth","objectType","gridRef","thickness","width","other","composition","optionsAccuracy","associations","Find spot marker","description","collection","dateDiscoveryDay","remarks","dateDiscoveryYear","rightCorner","length","edge","publications","userID","Lon","Lat","inputBy","imageURL"
"10472","560","","england, berkshire, from r. thames, maidenhead (near)","","maidenhead","None","Flat Celt","","","","","Bronze","10000","","Find spot marker","","Eton College Museum [;] pres. by Reverand E. Hale","None","Lady Willis Chitty, daughter of the donor, says that most of the implements in her father's possession (now in Eton College Museum) were dredged from the R. Thames between Maidenhead and Windsor","None","d","163.5","101","","541"," -0.70302539"," 51.52331","Tim Mudie","https://farm8.staticflickr.com/7258/13310709903_59d3bda771_b.jpg"
"10472","560","","england, berkshire, from r. thames, maidenhead (near)","","maidenhead","None","Flat Celt","","","","","Bronze","10000","","Find spot marker","","Eton College Museum [;] pres. by Rev. E. Hale","None","Lady Willis Chitty, daughter of the donor, says that most of the implements in her father's possession (now in Eton College Museum) were dredged from the R. Thames between Maidenhead and Windsor.","None","","163.5","101","",," -0.69221073"," 51.51247","Tim Mudie","https://farm8.staticflickr.com/7258/13310709903_59d3bda771_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10473","","","berkshire, maidenhead (near)","","maidenhead","None","Flat Axe","","","101","","","10000","","Find spot marker","","Eton College Museum 190","None","","None","","161","","","541"," -0.70126586"," 51.52537","Tim Mudie","https://farm4.staticflickr.com/3681/13310549945_ece68525b3_b.jpg"
"10473","","","r. thames, berks, nr. maidenhead","","near maidenhead","None","Flat Axe","","","101","Initials MJR appear below Surface.","","10000","","Find spot marker","","Eton College Museum, 190","None","","None","","161","","",," -0.70319705"," 51.51589","Tim Mudie","https://farm4.staticflickr.com/3681/13310549945_ece68525b3_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10474","520","","england, berkshire, newbury (in the neighbourhood of), exact site unknown","","newbury","None","Flat Celt, Hammer - Flanged","","115","","","Assay by analysis: Copper 91.35, Tin 8.64","10000","","Find spot marker","There are slight signs of flanges, but the surface is much decayed","Borough of Newbury Museum [;] I.63 (Old catalogue) [;] Given by Mr. J.W. Roake before 1854","None","It has been suggested by Mr. O.G.S. Crawford (Geog, Journ.) that perhaps this may be the flat celt found on a gravel heath to the north of Newbury and exhibited by Mr John Pardue in 1846 [...] B.A.A.I. (1846) 337","None","d [;] ","170","76","","541"," -1.32364250"," 51.40201","Tim Mudie","https://farm4.staticflickr.com/3691/13310549765_2a2fe4122c_b.jpg"
"10474","520","","england, berkshire, newbury, the neighbourhood of exact site unknown","","newbury, berkshire","None","Hammer-Flanged (Flat) Celt","","11.5","","","Assay by analysis Copper 91.35, Tin 8.64, Total 99.99","10000","","Find spot marker","There are slight signs of flanges, but the surface is much decayed.","Borough of Newbury Museum [;] I.63 (Old catalogue) [;] Given by Mr. J.W.Roake [;] before 1854.","None","It has been suggested by Mr. O.G.S.Crawford (Geo. Journ.) that perhaps this may be the flat celt found on a gravel heath to the north of Newbury and exhibited by Mr. John Pardue in 1846. J.B.A.A.I. (1846) 337.","None","d","170","76","Victoria History of Berkshire. i.195. [;] Geographical Journal August and September, 1912. 185.207. [;] Man xiv.51.",," -1.32342792"," 51.40787","Tim Mudie","https://farm4.staticflickr.com/3691/13310549765_2a2fe4122c_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10475","63.78","Dark coloured","england , berkshire, wallingford (?)","Much worn and blistered, one side rough as if cast in an open mould","wallingford","None","Miniature Flat Axe","","6","","Question marks under ""Site"" and ""Composition"" from original index card. Not entered by transcriber.","copper ?","10000","","Find spot marker","","Reading Museum A.L. XLII [;] Davies Collection March 1891","None","This is probably Irish, as the specimens in Davies Collection were often wrongly described.","None","","67","42","","541"," -1.12521580"," 51.59823","Tim Mudie","https://farm8.staticflickr.com/7218/13310920264_a3dc4eed96_b.jpg"
"10475","63.78","","england , berks, wallingford (?)","much worn & blistered, one side rough as if cast in an open mould. Dark coloured.","wallingford","None","Miniature Flat Axe","","6","","","? copper","10000","","Find spot marker","","Reading Museum. A.L. XLII [;] Davies Colln. March 1891.","None","This is probably Irish, as the specimens in Davies Colln. were often wrongly described.","None","c","67","42","",," -1.12521580"," 51.59823","Tim Mudie","https://farm8.staticflickr.com/7218/13310920264_a3dc4eed96_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10476","","Golden Brown","berkshire, windsor great park, , ex ball collection","Smooth","","None","Flat Axe ","","15","","Palstave crossed out and replaced with Flat Axe in object box","","10000","","Find spot marker","Fine flat palstave in perfect condition","Derbyshire Museum Service [;] x 5510/7","None","","None","","139.7","","","541","-76.51467340"," 37.14737","Tim Mudie","https://farm4.staticflickr.com/3716/13310708853_a27864430c_b.jpg"
"10476","","golden brown","berkshire [;] windsor great park ","smooth","","None","Flat Axe","","","","Can't make out thickness","","100","","Find spot marker","fine flat palstave in perfect condition","Ex Ball Collection","None","","None","d","140","","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3716/13310708853_a27864430c_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10477","297.67","Bright green, pale green in pit holes.","england, england, berkshire, yattendon, yattendon court","Badly pitted. Some rust adheres to one side. The other partly covered with yellow clay. ","yattendon court","None","Flat Celt","","11","","","","1000","Part of a hoard of 60 pieces, including (Evans, A.B. [...] p. 169) [...] celts, flat celts, palstaves, socketed celts, gonges, socketed and tanged knives, swords, scabbard ends, [...]-heads, and flat, conical and angular pieces of bronze.","Find spot marker","Butt chipped: edge chipped and one corner missing","Private collection, P. Waterhouse Esq. Yattendon Court","None","","1878","","118","78","Evans. [...] B. Imp.s p.169 (not in chapter on Flat Celts).","541"," -1.20495080"," 51.46671","Tim Mudie","https://farm4.staticflickr.com/3721/13310918764_3690daf36d_b.jpg"
"10477","298","bright green, pale green in pit holes","england [;] berkshire [;] yattendon [;] yattendon court [;] in digging foundations of house [;] 1878","badly pitted . Some rust adheres to one side. the other partly covered with yellow clay.","yattendon","None","Flat [...]","","279","","Length, width, thickness not recorded in any units. Have assumed inches & recorded accordingly","","100","part of a hoard of 60 pieces. including (Evans, A. B. Imps., p 169) [...] [;] [...] gouges, socketed & tanged knives, swords, seatband [...] spearheads, & flat, conical & angular pieces [...]","Find spot marker","Butt chipped: edge chipped & one corner missing","Private Collection 1923 [;] P. Waterhouse Esq. Yattendon Court","None","","1878","d","2997","1981","Proc. Soc. Ant. (2nd [...]) VII 480 [;] V. C. H. B[...]ks i, 182-3 Evans. Anc. B. Imps. p. 169 (not in chapter on Flat [...])",," -1.20495080"," 51.46671","Tim Mudie","https://farm4.staticflickr.com/3721/13310918764_3690daf36d_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10478","299.2","","scotland borders, ","Thick","","None","Hammer-Flanged/Flat Axe","","","","Under ""Site"", Peeblesshire is crossed out and replaced with Borders in pencil.","","1000","","Find spot marker","Imperfect specimen, edge damaged, angles slightly recurved, oval hollow on face shown: this has the appearance of a blow-hole, the inside diameter being larger than the outer","Scottish Antiquarian Museum [;] Edinburgh [;] Sim Collection, 1182. [;] No. DC.6.","None","","None","","136.8","66.7","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3768/13310942534_2318efa3f5_b.jpg"
"10478","299.2","","scotland [;] peeblesshire","","","None","Hammer, ?Flanged/Flat axe","","","","Length, width, thickness units not recorded. Assumed inches & converted. Can't make out word to left of Patina","","100","","Find spot marker","Imperfect specimen, edge damaged, angles slightly recurved. [;] Oval hollow on face [...]: this has the appearance of a blow-hole, [;] being larger than the outer.","Scottish Antiquarian Museum, [;] Edinburgh [;] Sim Collection, 1882. N. DC.6","None","","None","d","3475","1694","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3768/13310942534_2318efa3f5_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10479","230.45","Removed","scotland borders, ancrum (near), lilliards edge","Corroded fairly deeply in places.","lilliards edge","None","Flat Axe","","7.8","","Under ""Site"" Roxburghshire crossed out and Borders written, in pencil and in different handwriting.","","1000","","Find spot marker","Blunt edge. Sides rounded. Piece broken off butt.","Scottish Antiquarian Museum [;] Edinburgh [;] No. DA 77 [;] Purchased 1912","None","","None","","120","72.2","","541"," -2.60745570"," 55.53833","Tim Mudie","https://farm4.staticflickr.com/3794/13310942484_a5f1168845_b.jpg"
"10479","230.45","removed","scotland [;] roxburghshire borders [;] ancrum (near) [;] lilliards edge","Corroded fairly deeply in places","","None","Flat Axe","","198","","","","100","","Find spot marker","Blunt edge. Sides rounded. [;] Piece broken off butt.","Scottish Antiquarian Museum, [;] Edinburgh [;] Purchased 1912 No. DA 77","None","","None","d","3048","1834","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3794/13310942484_a5f1168845_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10480","543.25","","scotland borders, ashybanks, from, , ""site and circumstances of discovery unknown""","","","None","Flat Axe","","10.6","","Under ""Site"", Roxburghshire crossed out and replaced with Borders, in pencil, different handwriting.","","1000","","Find spot marker","Moderately good condition. Edge damaged.","Scottish National Museum, Edinburgh. [;] No. DA 10 [;] Purchased 1881","None","","None","","169.1","90","Catalogue Nat. Mus. Scot. 1892: O.G.S. Crawford Geog. Journal XL (1912). List p. 313.","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm3.staticflickr.com/2888/13310570625_96bc9a2601_b.jpg"
"10480","543","","scotland [;] roxburghshire borders [;] ashybank, from [;] ""site & circumstances of discovery unknown""","","","None","Flat Axe","","269","","","Moderately good condition. [;] Edge damaged.","100","","Find spot marker","","Scottish National Museum, [;] Edinburgh [;] No. DA 10 [;] Purchased 1881.","None","","None","","4295","2286","Catalogue Nat.Mus.Scot. 1892: O. G. S. Crawford Geog Journal XL (1912), List p. 313.",," -3.27657530"," 54.70235","Tim Mudie","https://farm3.staticflickr.com/2888/13310570625_96bc9a2601_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10481","357.35","in places","scotland borders, harlaw moor","Thin","","None","Flat Axe","","9.8","","Under ""Site"" Peeblesshire crossed out and replaced with Borders, followed by a question mark, in pencil. Also after Harlaw Moor, written in pencil [?= Harelaw, SE border of county]","","1000","","Find spot marker","Fairly good condition: Edge damaged, but moderately sharp; reground in antiquity. Sides beaten up to form rudimentary flanges.","Scottish National Museum [;] Edinburgh [;] No. DA 68 [;] Purchased 1900","None","","None","","143.9","73.5","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm8.staticflickr.com/7191/13310729483_36c27009e6_b.jpg"
"10481","357","Thin patina in places","scotland [;] peeblesshire borders? [;] harlaw moor [? = harelaw, se border of county]","","","None","Flat Axe","Scottish National Museum, [;] Edinburgh. [;] No. DA 68. [;] Purchased 1900.","","","Below 'Object Type' additional description: edges beaten up.","","100","","Find spot marker","Fairly good condition: [;] Edge damaged, but moderately sharp; reground in antiquity. [;] Sides beaten up to form rudimentary flanges.","","None","","None","","3655","1862","",," -3.27657530"," 54.70235","Tim Mudie","https://farm8.staticflickr.com/7191/13310729483_36c27009e6_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10482","97.5","green patina in places","scotland border, lauder, hill house","","","None","Miniature Flat Celt","","9","","Under ""Site"", Berwickshire crossed out and replaced with Borders.","","1000","","Find spot marker","","Bishop Collection B14 [;] The University. Glasgow.","None","","None","","62.2","37.5","","541"," -3.27657530"," 54.70235","Tim Mudie; Lesley Ravenscroft","https://farm8.staticflickr.com/7060/13310569685_f93fc0ba4e_b.jpg"
"10482","97.5","green patina in places","scotland borders lauder hillhouses","","td2 6td","None","Miniature Hat Celt","","9","37.5","next to length and width is a measurement, [;] butt or hutt 23","","1000","","Find spot marker","","Bishop Collection, The University, Glasgow","None","","None","B14","62.2","","","547"," -2.74943983"," 55.71961","Tim Mudie; Lesley Ravenscroft","https://farm8.staticflickr.com/7060/13310569685_f93fc0ba4e_b.jpg"
"10482","97.5","green patina in places","scotland [;] berwickshire borders [;] lauder [;] hill house","","","None","Miniature Flat [...]","","9","","","","100","","Find spot marker","","Bishop Collection B14 [;] The University. Glasgow.","None","","None","d","62","38","",," -3.27657530"," 54.70235","Tim Mudie; Lesley Ravenscroft","https://farm8.staticflickr.com/7060/13310569685_f93fc0ba4e_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10483","400.4","Light green","scotland, borders, jedburg, scaisburgh farm 2 1/2 m. s.e. of jedburgh","","","None","Flat Celt","","","","Under ""Site"" Roxburgh crossed out and replaced with Borders.","","1000","","Find spot marker","Shows traces of incipient wings [?] [;] Fair condition.","Bishop Collection B17 [;] The University. Glasgow.","None","","None","","137","82","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm8.staticflickr.com/7263/13310728493_4db7dcf2d2_b.jpg"
"10483","400","light green","scotland [;] roxburgh borders [;] jedburgh (straisburgh) [;] scraisburgh farm 2 1/8 m. s. e. of jedburgh.","","","None","Flat [...]","","","","","","100","","Find spot marker","shows traces of incipient wings","Bishop Collection B17. [;] The University. Glasgow","None","","None","d","137","82","",," -3.27657530"," 54.70235","Tim Mudie","https://farm8.staticflickr.com/7263/13310728493_4db7dcf2d2_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10484","554","","scotland, aberdeenshire, grampian","","","None","Flat Celt","","11","51","","","1000","","Find spot marker","","Anthropological Museum, Aberdeen University [;] 243 [;] Given by Rev Professor John Christie","None","","None","","149","84","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm6.staticflickr.com/5578/14772628439_165246ac33_b.jpg"
"10484","554","","scotland [;] aberdeenshire grampian","","","None","Falt Celt","","11","","","","100","","Find spot marker","","Anthropological Museum, Aberdeen University [;] 243 [;] Given by Rev. Professor John Christie","None","","None","d","149","84","",," -3.27657530"," 54.70235","Tim Mudie","https://farm6.staticflickr.com/5578/14772628439_165246ac33_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10485","","","england","","","None","Flat Celt","","6.5","","","Bronze","1000","","Find spot marker","Squared lateral margins [;] Partly smoothed surface","Pitt-Rivers Museum, Oxford. [;] Pitt-Rivers Collection (no numbers)","None","","None","","126","63","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3880/14936364166_fc0640d892_b.jpg"
"10485","","","england","Partly smoothed surface.","","None","Flat Celt","","7","","","","100","","Find spot marker","Bronze [;] squared lateral margins.","Pitt-Rivers Museum, Oxford. [;] Pitt-Rivers Collection (no number)","None","","None","d","126","63","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3880/14936364166_fc0640d892_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10486","","","england","","","None","Flat Axe","","9.5","","Description has been changed from the original Flat Celt, to Hammer Flanged Flat Axe Celt","Bronze","1000","","Find spot marker","Squared lateral margins [;] Partly smoothed surface","Pitt_Rivers Museum, Oxford [;] Pitt-Rivers Collection 1439","None","","None","","129.5","72","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm6.staticflickr.com/5553/14956255091_eb2a6b61be_b.jpg"
"10486","","","england","Partly smoothed surface","","None","Hammer Flanged Flat Axe [;] Celt","","10","","","","100","","Find spot marker","Bronze [;] Squared lateral margins","Pitt-Rivers Museum, Oxford. [;] Pitt-Rivers Collection 1437.","None","","None","d","130","72","",," -3.27657530"," 54.70235","Tim Mudie","https://farm6.staticflickr.com/5553/14956255091_eb2a6b61be_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10487","","Light brown bronze colour, dark in places.","scotland","in good condition","","None","Flat Celt","","7","","","","1000","","Find spot marker","Celt bronze, flat type, expanding towards cutting edge.","Royal Scottish Museum, Edinburgh [;] Reg. No. 1890. 498","None","","None","","138","","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3852/14772681799_0a696bda10_b.jpg"
"10487","378","lgiht brown bronze colour, dark in places","scotland","in good condition","","None","Flat Celt","","7","","","","100","","Find spot marker","Celt bronze, flat type, expanding towards cutting edge.","Royal Scottish Museum [;] Edinburgh [;] Reg. No: 1890.498","None","","None","d","138","75","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3852/14772681799_0a696bda10_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10488","481.95","Thin polished patina of green - various shades. Golden bronze just shows through. Remainder of the patina is thicker and damaged by scratches","scotland","smooth","","None","Flat Celt","","","","","Bronze","1000","","Find spot marker","The bevel at the edge is very slight.","Manchester Museum L 54 [;] bought of G.C. Yates.","None","","None","","157","88","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3911/14956254981_a16cb9f8fa_b.jpg"
"10488","482","thin polished patina of green - various shades. Golden bronze just shows through. [;] Remainder of the patine is thicker & damaged by scratches.","scotland","smooth","","None","Flat Celt","","","","","Bronze","100","","Find spot marker","The bevel at the edge is very slight.","Manchester Museum L54 [;] bought of G. C. Yates.","None","","None","d","157","88","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3911/14956254981_a16cb9f8fa_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10489","","Brownish yellow.","scotland","Hammered and pitted.","","None","Flat Axe","","8","59","","Bronze","1000","","Find spot marker","Butt and cutting edge show signs of grinding. Rest of surface hammered with some deep pits. Sides and edges rounded and hammered.","Smith Institute, Stirling [;] Cat. No. AI 3","None","From Dr. Paterson's Collection","None","","105","","","541"," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3885/14772754078_8bc9eb8be0_b.jpg"
"10489","207","Brownish yellow","scotland (?) [;] no locality","Hammered & pitted","","None","Flat Axe","","8","59","","Bronze","100","","Find spot marker","Butt & cutting edge show signs of grinding. Rest of surface hammered with some deep pits. Sides & edges rounded & hammered.","Smith Institute, Stirling [;] Cat. No. AI3","None","From Dr. Paterson's Collection.","None","d","105","","",," -3.27657530"," 54.70235","Tim Mudie","https://farm4.staticflickr.com/3885/14772754078_8bc9eb8be0_b.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
