"userID","taskID","dateOfObject","dateOfLevel","description","level","excNumber","comments","materials","regNumber","date","photoNumbers","objectType","unit","size","imageURL","imageTitle","fullname"
580,62435,"","","Found 7. 2. 1984.
Length of curved ?horn, with 5 pairs of projections and 2 knobs, all apparently trimmed off. Narrower end cut off flat, other end similarly cut off, and groove c 0.2 cms deep cut across it.
Centre hollowed out, approx circular hole, dia c 0.6 at mouth, depth at least 4 cms, perhaps mostly natural.
Used as knife handle?
(groove along each edge, assumed natural).
In F.O.S. Cambridge","+","133","","Horn (or ?wood. Peter R-C also uncertain).","","7. 2. 84.","88F 21/20-21; 86F 80/10-11 (above); probably 84F 11/3-4 (lost)","Object of unkonwn use - Kinfe handle ?","939 Plaza East","Length 9.5 cms; max width 2.7 cms; max thickness 1.7 cms","https://www.flickr.com/photos/115096994@N02/26589873354","QasrIbrim85.12.20.137","Denis Antoine"
677,62435,"","","Found 7.2.1984. Length of curied? Korn, with 5 pairs of projections and 2 knobs, all apparantly trimmed off. Narrouge end cut off flat, other end similarly cut off, and grooves 10.2 cms debt cut across it. Centre howard out, approx geuar hole, DA 10.6 at mouth, depth at least 4 cms, perhaps northy natural. Used as knife handle (groove move each cole, assumed natural). In F.O.S., Cabilys. ","+","133","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Korn. (or ? wood. Pur R-C also muthur). ","","85.12.20","88F 21/ 20-21. 86F 80/ 10-11 (share). Probably 8yF111/3-4 (loir).","Osisor of unknown use. Knife handle? ","939 Plaza East","Length 9.5 cms. Max width 2.7 cms. Max thickness 1.7 cms. ","https://www.flickr.com/photos/115096994@N02/26589873354","QasrIbrim85.12.20.137","Michael George Adams"
1250,62435,"Found 7.2.1984.","","Found 7.2.1984. Length of curved ?horn with 5 pairs of projections and 2 knobs, all apparently trimmed off. Narrower end cut off flat, other end similarly cut off, and groove c0.2 cms deep cut across it. Centre hollowed out, approx circular hole, DIA c0.6 at mouth, depth at least 4 cms, perhaps mostly natural. Used as knife handle? (Groove along each edge, assumed natural)","+","133","Next to photo number ""Probably 84F111/3-4"" are the words 'loss/lost?' but it is unclear","Horn (or ?wood. Peter R.C also uncertain)","","85.12.20","88F 21/20-21 86F 80/10-11 (above) Probably 84F111/3-4 ","Object of unknown use knife handle?","939 Plaza East","Length 9.5 cms Max width 2.7 cms Max thickness 1.7 cms","https://www.flickr.com/photos/115096994@N02/26589873354","QasrIbrim85.12.20.137",
580,62436,"","","Found 24. 1. 1984.
Slightly flattened wooden sphere; carved with a knife, not turned.
Hole (Dia 0.9 x 1.0 cms)  through least dia, apparently  cut, no ridging  internally.
Quite lightweight wood.
Surface quite rough still.
Probably stained brown.
In F.O.S., Cambridge.","+","134","Date: 85. 12. 20.","Wood","","24. 1. 1984.","86F 80/20-21 (right); 88F 8/34-36 (right); 84F 111/35-36 (lost)","(Abacus?) Bead","939 Plaza","Thickness 2.6 cms; Dia. 3.0 x 3.1 cms","https://www.flickr.com/photos/115096994@N02/27195891675","QasrIbrim85.12.20.139","Denis Antoine"
677,62436,"","","Found 21.1. 1984. Slightly flattened wooden surface; carved with a knife, not turned. Hole (DA 0.9-1.0 cms) through loatt DIA, apparantly cut, no ribding intcanasly. Quite light weight wood. Surface quite rough still. Probably stained brown. In F.O.S., Cambridge. ","+","134","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","86F80/ 20-21 (right) 88F8/ 34-36 (right) P4F 111/ 3r-36 (left)","(Abachs ?) Bead.","939 Plaza ","Thickness 2.6 cms. DIA 3.0-3.1 cms","https://www.flickr.com/photos/115096994@N02/27195891675","QasrIbrim85.12.20.139","Michael George Adams"
1250,62436,"Found 24.1.1984","","Found 24.1.1984. Slightly flattened wooden sphere; carved with a knife, not turned. Hole (D.A. 0.8 - 1 cms) through least DIA, apparently cut, no ridging internally. Quite lightweight wood. Surface quite rough still. Probably stained brown.","+","134","","Wood","","85.12.20","86F80/20-21 (right) 88F8/34-36 (right) 84F111/35-36 (left)","(abacus?) bead","939 Plaza","Thickness 2.6 cms DIA 3.0 - 3.1 cms","https://www.flickr.com/photos/115096994@N02/27195891675","QasrIbrim85.12.20.139",
580,62437,"","","Found 24. 1. 1984.
Solid wooden cylinder.
Bark removed, trimmed by knife to a round shape, then both ends lathe-turned (clear depression from this visible in centre of one) to produce central disc raised c 0.1 above surround.
Probably original light brown staining.
No means of attachment, purpose unknown.
?Possibly gaming piece.","+","135","Date: 85. 12. 20.","Wood","","24. 1. 1984.","88F 8/8-10 (centre); 86F 80/20-21 (left); 84F 111/35-36 (lost)","Object of unknown use","939 Plaza","Length 4.7 cms; Dia 4.0 cms","https://www.flickr.com/photos/115096994@N02/26921008140","QasrIbrim85.12.20.141","Denis Antoine"
677,62437,"","","Found 24.1.1984.
Solid unsgn cylmore. Bark rpund, trimmed by knife to a rounded shape, then both ends lathe. Turned (clere barehin from this were in centre of ive) to remove control disc rmied co.i above surround. Probably original light brown trimming. No rams of attachment purple unknown. ? Probably canine piece. 1:1.   ","+","135","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","88F8/ 1-10 (centre). 86F 80/ 20-21 (left). SNF 111/ 25-26 (left).","Object of unknown use.","939 Plaza","Length 4.7 cms. DIA 4.0 cms.","https://www.flickr.com/photos/115096994@N02/26921008140","QasrIbrim85.12.20.141","Michael George Adams"
1250,62437,"Found 24.1.1984.","","Found 24.1.1984. Solid wooden cylinder. Bark removed, trimmed by knife to a rounded shape, then both ends lathe - turned (clear depression from this visible in centre of one) to produce central disc raised c0.1 above surround. Probably original light brown staining. No means of attachment. Purpose unknown. ?Possibly gaming piece.","+","135","","Wood","","85.12.20","88F8/8-10 (centre) 86F80/20-21 (left) 84F111/35-36 (left)","Object of unknown use","939 Plaza","Length 4.7 cms DIA 4.0 cms ","https://www.flickr.com/photos/115096994@N02/26921008140","QasrIbrim85.12.20.141",
580,62438,"","","Found 23. 2. 1984.
Note on label ""cf (84.)2. 18/15""
Wooden block, carved with knife into a flat rectangle, corners cut off at c 45°, and top and bottom shaped to make wedge-shaped ends (the two faces are slightly thicker in the middle than towards the ends).
Brown stained; probably original.
Groove near edge of one face, filled with ?pitch, perhaps just remaking a plush surface. (or could it be wood?)
?Tumbler from a large lock
No sign of attachement means.
Drawing overleaf.","","136","","Wood","","85. 12. 20.","88F 8/11-13; 86F 80/18-19; 84F 111/33-34 (lost)","Object of unknown use","333 Magazine Street North built into mudbrick lining on south side of CG 284 ""Old No. 1"" close to its broken East end.","11.5 x 5.0 x 1.6 cms","https://www.flickr.com/photos/115096994@N02/26921004400","QasrIbrim85.12.20.143","Denis Antoine"
677,62438,"","","Found 23.2.1984. Note on label ""cf (84.)2.18/15"". Wooden block, carved with knife into a flat rectangle, corneds cut off at c45, and top and bottom shaped to make uedge - shaped ends (the two partly are slightly thicker in the middle then towards the jugs). Brown staved: probably original. Grohs were sole of one face, pined with ?pitch, peonars just remaking a pleh surface. ?Tunbire parn a large edge and sign of attachment means. Drawing overleaf.   ","co 284 ""Old No. 1"" Close to the Broken East end.  ","136","Some of the handwriting was difficult to decipher. I made my best possible judgement. The map is not working. Also some information appears to be missing. ","Wood.","","85.12.20","88F 8/11-12. 86F 80/18-19. 84F 111/33-74 (lent).","Object of unknown use.","333 Magazine Street North. Built into Mudbank lining on South side of ","11.5 x 5.0 x 1.6 cms.","https://www.flickr.com/photos/115096994@N02/26921004400","QasrIbrim85.12.20.143","Michael George Adams"
1250,62438,"Found 23.2.1984. ","","Found 23.2.1984. Note on label ""cf (84.)2.18/15"". Wooden block, carved with knife into a flat rectangle, corners cut off at c45°, and top and bottom shaped to make wedge-shaped ends (the two faces are slightly thicker in the middle than towards the ends). Brown stained; probably original. Groove near edge of one face, filled with ?pitch, perhaps just remaking a flush surface (or could it be wood?). ?Tumbler from a large lock. No sign of attachment means. Drawing overleaf ","","136","If the section of photo numbers ""85F111/33-34"" it either says 'lost' or 'left'","Wood","","85.12.20","88F8/11-13 86F80/18-19 85F111/33-34 (lost)","Object of unknown use","333 Magazine Street North built into mud brick lining on south side of CG 284 ""Old No. 1"" close to its broken east end","11.5 x 5.0 x 1.6 cms","https://www.flickr.com/photos/115096994@N02/26921004400","QasrIbrim85.12.20.143",
580,62439,"","","Curved fragment of china, both sides glazed a slightly bluish white, core white.
Undecorated.
Found 28. 1. 1984.
In F.O.S., Cambridge","+","137","","China","none","85. 12. 20","84F 122/17A-18A; 88F 24/9A-10A (top)","Fragment of vessel","785 House - Room 8 ex","4.0 x 1.4 cms; thickness 0.5 cms","https://www.flickr.com/photos/115096994@N02/26921003320","QasrIbrim85.12.20.145","Denis Antoine"
677,62439,"","","Curved fragment of china, both sides glazed. A slightly blush white, core white. Undecorated. Found 28.1.1984. 1:1. Top (corner side). In F.O.S., Cambridge. ","+","137","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","China.","None.","85.12.20","84F 132/17A-18A. 88F 24/9A-10A (tng) put 122/176 18A.","Fragment of vessel. ","785 House. Room 8ex.","4.0 x 1.4 cms. Thickness 0.5 cms.","https://www.flickr.com/photos/115096994@N02/26921003320","QasrIbrim85.12.20.145","Michael George Adams"
1250,62439,"Found 28.1.1984","","Curved fragment of china, both sides glazed a slightly bluish white, core white. Undecorated. Found 28.1.1984","+","137","","China","None","85.12.20","84F122/17A-18A 88F24/9A-10A (top)","Fragment of vessel","785 House Room 8ex","4.0 x 1.4 cms Thickness 0.5 cms","https://www.flickr.com/photos/115096994@N02/26921003320","QasrIbrim85.12.20.145",
580,62440,"","","Found 2. 2. 1984.
Part-round length of wood; cannot tell if originally fully or partly round.
One end flat, original, the other a break lathe-turned.
Stained dark brown.
Not the usual ""Mishrabman/furniture"" type symetrical element - too large and lacks the end tenon.","1","138","","Wood","","85. 12. 20.","84F 124/34A-35A; ; 88F 9/11A-12A (right)","Fragment of ?furniture element","986 Pit","Length 9.9 cms; wodth 4.4 cms; thicknes 1.2 cms","https://www.flickr.com/photos/115096994@N02/26921002760","QasrIbrim85.12.20.147","Denis Antoine"
677,62440,"","","Found 2.2.1984. Part-round lenson of wood; cannot tell if originally curvy or partly round. One end flat, original, the other a break lathe-turned. Stained dark brown. Not the usual ""mismabbman/ furniture"" type symngthirn element - the large and laces the end tenin. Original. Back. Back. A. 1:1. Dia, point A (55.57 cms).  ","1","138","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","84F 124/ 34A-35A. 81Fg/ 11A-12A (nglr).","Fragment of? Furniture element.","986 Pit","Length 9.9 cms. Width 4.4 cms. Thickness 1.2 cms.","https://www.flickr.com/photos/115096994@N02/26921002760","QasrIbrim85.12.20.147","Michael George Adams"
1250,62440,"Found 2.2.1984.","","Found 2.2.1984. Part-round length of wood; cannot tell if originally fully or partly round. One end flat, original, the other a break lathe-turned. Stained dark brown. Not the usual ""mishrabiyah/furniture"" type symmetrical element - too large and lacks the end tenon.","1","138","","Wood","","85.12.20","84F124/34A-35A 88F9/11A-12A (right)","Fragment of ?furniture element","986 PIT","Length 9.9cms Width 4.4cms Thickness 1.2 cms","https://www.flickr.com/photos/115096994@N02/26921002760","QasrIbrim85.12.20.147",
580,62441,"","","Found 2. 2. 1984.
Sawn-off end of a length of wood, knife-cut (facetted) into an approx. round-section,  slightly tapering furniture-leg or similar, smaller end original.
Some traces of brown staining, probably original.
?Possibly a bottle/jar stopper.","1","139","","Wood","","85. 12. 20.","84F 124/34A-35A; 88F 8/8-10 (left)","Fragment of unknown object - ?Stopper","986 Pit","Length 3.8 cms; section (max) 4.1 x 4.0 cms","https://www.flickr.com/photos/115096994@N02/27126919601","QasrIbrim85.12.20.149","Denis Antoine"
677,62441,"","","Found 2.2.1984. Sawn-off end of a length of wood. Knife-cut (facetted) into an approt round section, slightly tapering furniture - leg or similar. Smaller end original. Some traces of brown staining, probably original. ?Possibly a bottle/ jar stopper. 1:1. Sawn edge.  ","1","139","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","84F 124/34A-35A. 88F 8/8-10 (lefo).","Fragment of unknown object: Stopper.","916 Pit","Length 3.8 cms. Section (Max) 4.1 x 4.0 cms. ","https://www.flickr.com/photos/115096994@N02/27126919601","QasrIbrim85.12.20.149","Michael George Adams"
1250,62441,"","","Found 2.2.1984. Sawn-off end of a length of wood, knife-cut (facetted) into an approx. round-section, slightly tapering furniture-leg or similar. Smaller end original. Some traces of brown staining. Probably original. ?Possibly a bottle/jar stopper.","1","139","","Wood","","85.12.20","84F124/34A-35A 88F8/8-10 (left)","Fragment of unknown object ?stopper ","986 PIT","Length 3.8 cms Section (max) 4.1 x 4.0 cms","https://www.flickr.com/photos/115096994@N02/27126919601","QasrIbrim85.12.20.149",
580,62442,"","","Found 2. 2. 84.
Peg of unusual thin-ness, but apparently as thick as it originally was because both surfaces covered to distance of 4.5 to 5.0 cms from pointed end with red (not brown) paint. Remainder unstained, except for a few red splashes, both surfaces.
Little evidence of either end being hit, or driven into the ground, and seems too flimsy for this purpose anyway.","1","140","","Wood","","85. 12. 20.","84F 124/34A-35A; 88F 8/4-5 (bottom)","Peg","986 Pit","Length 13.8 cms; width (max) 1.2 cms; thickness (max) 0.5 cms","https://www.flickr.com/photos/115096994@N02/26921001490","QasrIbrim85.12.20.151","Denis Antoine"
677,62442,"","","Found 2.2.1984. Peg of unusual thickness, but apparantly as thick as it originally was because both surfaces caused to distance of 45-5.0 cms from pointed G-D with red (not brown) paint, remainder unstained, sweeat for a few red splashes, both surfaces. Little bridguie of either end going hit, or brush into the ground, and seems too flimy for this purpose anyway. 1:1. Red.   ","1","140","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","84F 124/ 34A-35A. 88F 8/ 4-5 (bottom).","Peg","986 Pit","Length 13.8 cms. Width (Max) 1.2 cms. Thickness (Max) 0.5 cms. ","https://www.flickr.com/photos/115096994@N02/26921001490","QasrIbrim85.12.20.151","Michael George Adams"
1250,62442,"","","Found 2.2.1984. Peg of unusual thin-ness, but apparently as thick as it originally was because because both surfaces covered to distance of 4.5 - 5.0 cms from pointed end with red (not brown) paint. Remainder unstained, except for a few red splashes, both surfaces. Little evidence of either end being hit, or driven into the ground, and seems too flimsy for this purpose, anyway. ","1","140","","Wood","","85.12.20","84F124/34A-35A 88F8/4-5 (bottom)","Peg","986 PIT","Length 13.8 cms Width (max) 1.2 cms Thickness (max) 0.5 cms","https://www.flickr.com/photos/115096994@N02/26921001490","QasrIbrim85.12.20.151",
580,62443,"","","Found 25. 1. 1984.
Just over 25% of circumference of archer's loose, complete from end to end.
Exterior smoothed and stained light brown. Interior quite rough.
No sign of turning; assume made with a blade.
In F.O.S., Cambridge","+","141","","Wood","none","85. 12. 20.","84F 113/27A-28A; 88F 15/7-9 (left)","Fragment of archer's loose","939 Plaza","Length 3.1 cms; Dia (wide end) average 5.2 cms; Dia (narrow end) average 4.4 cms","https://www.flickr.com/photos/115096994@N02/26590943423","QasrIbrim85.12.20.153","Denis Antoine"
677,62443,"","","Found 25.1.1984
Just over 25% of circumference of archer's loose, complore from end to end. Exterior smoothed and stained light brown. Interior quite rough. No sign of turning; miune made with a blade. In Eos, Cambridge. 1:1. ","+","141","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","None.","85.12.20","84F 113/ 27A-28A. 88F 15/ 7-9 (edges).","Fragment of Archer's Loose.","939 Plaza","Length 3.1 cms. Dia (wide end) anseage 5.2 cms. "" (naban end) "" 4.4 cms.","https://www.flickr.com/photos/115096994@N02/26590943423","QasrIbrim85.12.20.153","Michael George Adams"
1250,62443,"","","Found 25.1.1984. Just over 25% of circumference of archer's loose, complete from end to end. Exterior smoothed and stained light brown, interior quite rough. No sign of turning; assume made with a blade.","+","141","In the section on photo numbers ""88F15/7-9"" the word in the bracket either ays 'rep' or 'left'","Wood","None","85.12.20","84F113/27A-28A 88F15/7-9 (rep)","Fragment or archer's loose","939 Plaza","Length 3.1 cms DIA (wide end) average 5.2 cms "" (narrow end) - 4.4 cms (both external)","https://www.flickr.com/photos/115096994@N02/26590943423","QasrIbrim85.12.20.153",
580,62444,"","","Found 25. 1. 1984.
Toggle; made with a blade, not turned.
Complete except that one of the two projecting ends is about 1/3 burnt away.
Groove around part of centre, 1.4 cms long (c 22% of circumference), and a very faint one on opposite side.
Stained dark brown.
Deep split end to end threatens to divide it.","+","142","","Wood","","85. 12. 20.","84F 113/27A-28A; 88F 8/11-13","Toggle","939 Plaza","Length 7.5 cms; Max dia (ends) 2.6 x 2.7, 28 x damaged; max dia (centre) 2.0","https://www.flickr.com/photos/115096994@N02/26921000630","QasrIbrim85.12.20.155","Denis Antoine"
677,62444,"","","Found 25.1.1984. Toggle: made with a blade, not turned. Complete except that one of the two projecting ends is about burnt away. Groove around part of centre, 1.4 cms long (.20% of cowngodige), and a very faint one on opposite side. Stained dark brown. Deep split end to end thpeatgns to divide it. 1. 1. 1:1. ","+","142","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","84F 113/ 27A-28A. 88F 8/ 11-13.","Toggle","939 Plaza","Length 7.5 cms. Max dia (edge) 2.6 x 2.7, 2.8 x dam-aged. Max dia (centre) 2.0.","https://www.flickr.com/photos/115096994@N02/26921000630","QasrIbrim85.12.20.155","Michael George Adams"
1250,62444,"","","Found 25.1.1984. Toggle: made with a blade, not turned. Complete except that one of the two projecting ends is about 1/3 burnt away. Groove around part of centre, 1.4 cms long (c22% of circumference), and a very faint one on opposite side. Stained dark brown. Deep split end to end threatens to divide it. ","+","142","","Wood","","85.12.20","84F 113/27A-28A 88F 8/ 11-13","Toggle","939 Plaza","Length 7.5 cms Max DIA (ends) 2.6 x 2.7, 2.8 x damaged. Max DIA (centre) 2.0","https://www.flickr.com/photos/115096994@N02/26921000630","QasrIbrim85.12.20.155",
580,62445,"","","Found 6. 2. 84.
Rather flimsy peg, complete, no head, not carfully made.
One end pointed, the other almost flat (slightly concave), both originals.
Not stained.","1","143","","Wood","","85. 12. 20.","88F 8/3; 86F 80/24-25 (right); Probably 84F 111/31-32 ([...])","Peg","1009 Pit","Length 10.2 cms; max width 1.2 cms; max thickness 0.7 cms","https://www.flickr.com/photos/115096994@N02/26920999880","QasrIbrim85.12.20.157","Denis Antoine"
677,62445,"","","Found 6.2.84. Rather flimsy peg. Compose no head. Not carefuly made. One end pointed, the other almost flat (slightly conlane), both originals. Not stained. 1:1. ","1","143","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","88F 8/3. 86F 80/24-25 (right). Piowos 84F 111/ 21-22 (left). ","Peg","1009 Pit","Length 10.2 cms. Max width 1.2. Max thickness 0.7. ","https://www.flickr.com/photos/115096994@N02/26920999880","QasrIbrim85.12.20.157","Michael George Adams"
1250,62445,"","","Found 6.2.84. Rather flimsy peg. Complete. No head. Not carefully made. One end pointed, the other almost flat (slightly concave). Both originals. Not stained.","1","143","In the photo numbers section, there is illegible text in the brackets both before and after the photo number '85F111/31-32/","Wood","","85.12.20","88F8/3 86F80/24-25 (right) (transcriber's note - illegible text) 85F111/31-32 (transcriber's note - illegible text) ","Peg","1009 PIT","Length 10.2 cms Max width 1.2 cms Max thickness 0.7 cms","https://www.flickr.com/photos/115096994@N02/26920999880","QasrIbrim85.12.20.157",
580,62446,"","","Found 6. 2. 1984
Unstained tapering fragment, ""front"" smoothed; remains of a projecting band between 2 saw-cuts. Below it 2 more saw-cuts, perhaps decorative.
Notch 7 on left is intentional.
""Back"" has smoothed surface for 3.1 cms from original end (except part champered away) but remainder projected and is lost.
Other end is a break.
Drawing overleaf.","1","144"," ","Wood","","85. 12. 20.","88F 3/12-14 (right); 86F 80/24-25 (second from right); probably 84F 111/31-32 (lost)","Fragmentject of unknown ob","1009 Pit","Length 12.8 cms; max width 2.8; max thickness 1.2 cms","https://www.flickr.com/photos/115096994@N02/27126917861","QasrIbrim85.12.20.159","Denis Antoine"
677,62446,"","","Found 6.2.1984. Unstained tapering from out -""front"" smoothed; remains of a projecting bond between 2 saw-cuts, below it 2 more saw-cuts, perhaps departing notch 7 on left is intentional. ""Back"" has smoothed shaping for 3.1 cms from original end (except part compared away) but remains projected and is wit. Other end is a rajar. Drawing overleaf. ","1","144","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Wood.","","85.12.20","88F 3/ 12-14 (Right). 86F 80/ 24-25 (Second from right). Probably 84F 111/ 21-22 (left).  ","Fragment of unknown object","1009 Pit","Length 12.8 cms. Max width 2.8 cms. Max thickness 1.2 cms","https://www.flickr.com/photos/115096994@N02/27126917861","QasrIbrim85.12.20.159","Michael George Adams"
1250,62446,"","","Found 6.2.1984. Unstained tapering fragment. ""Front"" smoothed; remains of a projecting bond between two saw-cuts. Below it 2 more saw-cuts, perhaps decorative notch (transcriber's note - symbol drawn, looks like 7) on left is intentional. ""Back"" has smoothed surface for 3.1 cms from original end (except part chamfered away) but remainder projected and is lost. Other end is a break. Drawing overleaf. ","1","144","A symbol is included in the description section of the object card - see description section for details.","Wood","","85.12.20","88F3/12-14 (right) 86F80/24-25 (second from right) Probably 84F111/31-32 (transcriber's note - illegible text)","Fragment of unknown object","1009 PIT","Length 12.8 cms Max. width 2.8 cms Max thickness 1.2 cms","https://www.flickr.com/photos/115096994@N02/27126917861","QasrIbrim85.12.20.159",
